id,scheme_name,category,url,scheme_slug,source_type,status,last_reviewed
1,ICICI Prudential Silver ETF FoF Direct Growth,commodity_fof,https://groww.in/mutual-funds/icici-prudential-silver-etf-fof-direct-growth,icici-prudential-silver-etf-fof-direct-growth,scheme_page,approved,2026-05-18
2,ICICI Prudential Bharat 22 FoF Direct Growth,fof_thematic,https://groww.in/mutual-funds/icici-prudential-bharat-22-fof-direct-growth,icici-prudential-bharat-22-fof-direct-growth,scheme_page,approved,2026-05-18
3,ICICI Prudential Large Cap Fund Direct Growth,large_cap,https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,icici-prudential-large-cap-fund-direct-growth,scheme_page,approved,2026-05-18
4,ICICI Prudential Dynamic Plan Direct Growth,dynamic_asset_allocation,https://groww.in/mutual-funds/icici-prudential-dynamic-plan-direct-growth,icici-prudential-dynamic-plan-direct-growth,scheme_page,approved,2026-05-18
5,ICICI Prudential Technology Fund Direct Growth,sectoral_technology,https://groww.in/mutual-funds/icici-prudential-technology-fund-direct-growth,icici-prudential-technology-fund-direct-growth,scheme_page,approved,2026-05-18
6,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund Direct Growth,sectoral_pharma,https://groww.in/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-(p.h.d)-fund-direct-growth,icici-prudential-pharma-healthcare-and-diagnostics-(p.h.d)-fund-direct-growth,scheme_page,approved,2026-05-18
7,ICICI Prudential Nifty Next 50 Index Fund Direct Growth,index,https://groww.in/mutual-funds/icici-prudential-nifty-next-50-index-fund-direct-growth,icici-prudential-nifty-next-50-index-fund-direct-growth,scheme_page,approved,2026-05-18
8,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,hybrid_retirement,https://groww.in/mutual-funds/icici-prudential-retirement-fund-hybrid-aggressive-plan-direct-growth,icici-prudential-retirement-fund-hybrid-aggressive-plan-direct-growth,scheme_page,approved,2026-05-18
9,ICICI Prudential — AMC listing (filter),directory,https://groww.in/mutual-funds/filter?fund_house=%5B%22ICICI+Prudential+Mutual+Fund%22%5D,,amc_listing,approved,2026-05-18
10,ICICI Prudential Dividend Yield Equity Fund Direct Growth,equity_dividend_yield,https://groww.in/mutual-funds/icici-prudential-dividend-yield-equity-fund-direct-growth,icici-prudential-dividend-yield-equity-fund-direct-growth,scheme_page,approved,2026-05-18
11,ICICI Prudential Regular Income Fund Direct Growth,debt_income,https://groww.in/mutual-funds/icici-prudential-regular-i-come-fund-direct-growth,icici-prudential-regular-i-come-fund-direct-growth,scheme_page,approved,2026-05-18
12,ICICI Prudential Nifty IT Index Fund Direct Growth,index_sectoral,https://groww.in/mutual-funds/icici-prudential-nifty-it-index-fund-direct-growth,icici-prudential-nifty-it-index-fund-direct-growth,scheme_page,approved,2026-05-18
13,ICICI Prudential Multicap Fund Direct Growth,multicap,https://groww.in/mutual-funds/icici-prudential-multicap-fund-direct-growth,icici-prudential-multicap-fund-direct-growth,scheme_page,approved,2026-05-18
14,ICICI Prudential Indo Asia Equity Fund Direct Growth,international_equity,https://groww.in/mutual-funds/icici-prudential-indo-asia-equity-fund-direct-growth,icici-prudential-indo-asia-equity-fund-direct-growth,scheme_page,approved,2026-05-18
15,ICICI Prudential Balanced Advantage Fund Direct Growth,hybrid_balanced_advantage,https://groww.in/mutual-funds/icici-prudential-balanced-advantage-fund-direct-growth,icici-prudential-balanced-advantage-fund-direct-growth,scheme_page,approved,2026-05-18
16,ICICI Prudential Midcap Fund Direct Growth,mid_cap,https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,icici-prudential-midcap-fund-direct-growth,scheme_page,approved,2026-05-18
17,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,retirement_equity,https://groww.in/mutual-funds/icici-prudential-retirement-fund-pure-equity-plan-direct-growth,icici-prudential-retirement-fund-pure-equity-plan-direct-growth,scheme_page,approved,2026-05-18
